date,year,month,month_name,quarter,week,day,day_of_week,day_name,is_weekend,year_month
2017-05-27,2017,5,May,2,21,27,5,Saturday,True,2017-05
2017-05-28,2017,5,May,2,21,28,6,Sunday,True,2017-05
2017-05-29,2017,5,May,2,22,29,0,Monday,False,2017-05
2017-05-30,2017,5,May,2,22,30,1,Tuesday,False,2017-05
2017-05-31,2017,5,May,2,22,31,2,Wednesday,False,2017-05
2017-06-01,2017,6,June,2,22,1,3,Thursday,False,2017-06
2017-06-02,2017,6,June,2,22,2,4,Friday,False,2017-06
2017-06-03,2017,6,June,2,22,3,5,Saturday,True,2017-06
2017-06-04,2017,6,June,2,22,4,6,Sunday,True,2017-06
2017-06-05,2017,6,June,2,23,5,0,Monday,False,2017-06
2017-06-06,2017,6,June,2,23,6,1,Tuesday,False,2017-06
2017-06-07,2017,6,June,2,23,7,2,Wednesday,False,2017-06
2017-06-08,2017,6,June,2,23,8,3,Thursday,False,2017-06
2017-06-09,2017,6,June,2,23,9,4,Friday,False,2017-06
2017-06-10,2017,6,June,2,23,10,5,Saturday,True,2017-06
2017-06-11,2017,6,June,2,23,11,6,Sunday,True,2017-06
2017-06-12,2017,6,June,2,24,12,0,Monday,False,2017-06
2017-06-13,2017,6,June,2,24,13,1,Tuesday,False,2017-06
2017-06-14,2017,6,June,2,24,14,2,Wednesday,False,2017-06
2017-06-15,2017,6,June,2,24,15,3,Thursday,False,2017-06
2017-06-16,2017,6,June,2,24,16,4,Friday,False,2017-06
2017-06-17,2017,6,June,2,24,17,5,Saturday,True,2017-06
2017-06-18,2017,6,June,2,24,18,6,Sunday,True,2017-06
2017-06-19,2017,6,June,2,25,19,0,Monday,False,2017-06
2017-06-20,2017,6,June,2,25,20,1,Tuesday,False,2017-06
2017-06-21,2017,6,June,2,25,21,2,Wednesday,False,2017-06
2017-06-22,2017,6,June,2,25,22,3,Thursday,False,2017-06
2017-06-23,2017,6,June,2,25,23,4,Friday,False,2017-06
2017-06-24,2017,6,June,2,25,24,5,Saturday,True,2017-06
